City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
5,Busselton,AU,51.58,overcast clouds,-33.65,115.3333,Observatory Guest House
9,Mayskiy,RU,63.81,light rain,47.6931,40.1025,Dio Lakrua
13,Vaini,TO,69.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
19,Pacific Grove,US,67.21,broken clouds,36.6177,-121.9166,Lovers Point Inn
26,Carnarvon,AU,66.07,few clouds,-24.8667,113.6333,Hospitality Carnarvon
29,Cape Town,ZA,57.38,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
33,Severo-Kurilsk,RU,52.75,broken clouds,50.6789,156.125,Kak Doma
37,Usinsk,RU,53.46,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
39,Mar Del Plata,AR,58.08,light intensity drizzle,-38.0023,-57.5575,Gran Hotel Mar del Plata
45,Vestmannaeyjar,IS,54.48,broken clouds,63.4427,-20.2734,Glamping & Camping
52,Constitucion,CL,57.42,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
55,Norman Wells,CA,62.64,broken clouds,65.282,-126.8329,Heritage Hotel
56,Port Alfred,ZA,54.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
57,Kirillov,RU,66.99,broken clouds,59.863,38.3813,Rus Hotel
60,Pisco,PE,60.85,mist,-13.7,-76.2167,Hotel San Isidro Oficial
69,Tarko-Sale,RU,56.32,overcast clouds,64.9225,77.785,Yubileynaya
71,Bredasdorp,ZA,50.74,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
72,Mareeba,AU,56.44,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
74,Port Hardy,CA,55.4,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
76,Yulara,AU,58.87,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
77,Esperance,AU,51.64,light rain,-33.8667,121.9,Hospitality Esperance
81,Vardo,NO,51.78,overcast clouds,70.3705,31.1107,Vardø Hotel AS
84,Byron Bay,AU,55.71,broken clouds,-28.65,153.6167,Backpackers Inn
86,East London,ZA,56.34,clear sky,-33.0153,27.9116,Tu Casa
