City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Butaritari,KI,3.0707,172.7902,82.02,76,22,14.41,few clouds
1,Sao Domingos,BR,-13.3983,-46.3183,87.76,24,0,7.02,clear sky
2,Ushuaia,AR,-54.8,-68.3,37.06,75,75,12.66,broken clouds
3,Port Macquarie,AU,-31.4333,152.9167,48.88,85,66,8.68,broken clouds
4,Port Blair,IN,11.6667,92.75,77.04,94,75,2.3,mist
5,Busselton,AU,-33.65,115.3333,51.58,66,91,15.17,overcast clouds
6,Vanimo,PG,-2.6741,141.3028,77.5,91,56,4.09,broken clouds
7,Freeport,US,40.6576,-73.5832,99.28,38,0,10.36,clear sky
8,Airai,TL,-8.9266,125.4092,51.55,85,10,1.72,clear sky
9,Mayskiy,RU,47.6931,40.1025,63.81,63,65,7.47,light rain
10,Egvekinot,RU,66.3167,-179.1667,36.61,77,99,7.16,overcast clouds
11,Guerrero Negro,MX,27.9769,-114.0611,73.44,64,86,15.7,overcast clouds
12,Thunder Bay,CA,48.4001,-89.3168,70.45,59,90,5.53,overcast clouds
13,Vaini,TO,-21.2,-175.2,69.96,83,40,9.22,scattered clouds
14,Srednekolymsk,RU,67.45,153.6833,48.52,59,0,8.37,clear sky
15,Piacabucu,BR,-10.4056,-36.4344,78.76,73,49,11.83,scattered clouds
16,Iqaluit,CA,63.7506,-68.5145,45.7,93,100,4.0,overcast clouds
17,Porto Velho,BR,-8.7619,-63.9039,99.16,27,13,2.59,few clouds
18,Punta Arenas,CL,-53.15,-70.9167,39.31,56,0,9.22,clear sky
19,Pacific Grove,US,36.6177,-121.9166,67.21,88,75,10.0,broken clouds
20,Kapaa,US,22.0752,-159.319,80.58,76,40,12.66,scattered clouds
21,Adrar,MR,20.5022,-10.0711,102.04,20,82,7.67,broken clouds
22,Hobart,AU,-42.8794,147.3294,48.27,93,100,4.61,overcast clouds
23,San Patricio,US,28.017,-97.5169,95.54,42,82,16.49,broken clouds
24,Labuhan,ID,-6.8844,112.2051,76.21,85,78,6.64,broken clouds
25,Celestun,MX,20.8667,-90.4,88.63,59,100,9.66,overcast clouds
26,Carnarvon,AU,-24.8667,113.6333,66.07,69,19,21.97,few clouds
27,Jamestown,US,42.097,-79.2353,88.02,54,0,13.8,clear sky
28,Rikitea,PF,-23.1203,-134.9692,71.76,71,6,8.32,clear sky
29,Cape Town,ZA,-33.9258,18.4232,57.38,73,12,7.0,few clouds
30,New Norfolk,AU,-42.7826,147.0587,47.91,84,95,1.41,overcast clouds
31,Auki,SB,-8.7676,160.7034,76.68,89,31,3.78,scattered clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,78.76,86,94,5.01,overcast clouds
33,Severo-Kurilsk,RU,50.6789,156.125,52.75,92,64,3.78,broken clouds
34,Albany,US,42.6001,-73.9662,94.62,39,0,1.01,clear sky
35,Mvomero,TZ,-6.25,38.6667,72.14,83,75,5.41,broken clouds
36,Nanortalik,GL,60.1432,-45.2371,45.21,88,67,9.26,broken clouds
37,Usinsk,RU,65.9939,57.5281,53.46,78,99,8.84,overcast clouds
38,Lodja,CD,-3.4833,23.4333,78.1,60,77,2.86,broken clouds
39,Mar Del Plata,AR,-38.0023,-57.5575,58.08,55,100,6.91,light intensity drizzle
40,Malatya,TR,38.5,38.0,75.25,24,0,25.32,clear sky
41,Lagoa,PT,39.05,-27.9833,73.31,85,19,8.86,few clouds
42,Alice Springs,AU,-23.7,133.8833,44.15,42,0,2.3,clear sky
43,Berbera,SO,10.4396,45.0143,95.27,35,38,17.38,scattered clouds
44,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,65,0,14.97,clear sky
45,Vestmannaeyjar,IS,63.4427,-20.2734,54.48,84,56,7.81,broken clouds
46,Atuona,PF,-9.8,-139.0333,77.04,79,32,18.19,light rain
47,Upernavik,GL,72.7868,-56.1549,43.21,96,100,5.61,overcast clouds
48,Bluff,NZ,-46.6,168.3333,32.81,79,22,5.99,few clouds
49,Pevek,RU,69.7008,170.3133,35.1,85,98,3.18,overcast clouds
50,Mataura,NZ,-46.1927,168.8643,32.49,89,84,2.57,broken clouds
51,Sibolga,ID,1.7427,98.7792,75.74,91,96,3.47,overcast clouds
52,Constitucion,CL,-35.3333,-72.4167,57.42,79,100,3.47,overcast clouds
53,Mizdah,LY,31.4451,12.9801,83.75,19,0,10.11,clear sky
54,Gizo,SB,-8.103,156.8419,81.5,76,11,9.15,few clouds
55,Norman Wells,CA,65.282,-126.8329,62.64,67,75,9.22,broken clouds
56,Port Alfred,ZA,-33.5906,26.891,54.18,84,97,5.99,overcast clouds
57,Kirillov,RU,59.863,38.3813,66.99,77,58,5.37,broken clouds
58,Beloha,MG,-25.1667,45.05,66.97,73,49,5.26,scattered clouds
59,Kimparana,ML,12.8347,-4.9244,77.56,78,90,11.63,moderate rain
60,Pisco,PE,-13.7,-76.2167,60.85,82,100,6.91,mist
