City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.3333,44.8,73,2,4.59,NZ,2022-07-23 05:01:54
1,Atuona,-9.8,-139.0333,77.59,77,14,16.11,PF,2022-07-23 05:01:48
2,Ushuaia,-54.8,-68.3,26.69,97,94,3.27,AR,2022-07-23 05:00:40
3,Kapaa,22.0752,-159.319,82.38,76,7,1.99,US,2022-07-23 04:56:16
4,Viransehir,37.2353,39.7631,87.67,18,0,3.04,TR,2022-07-23 05:05:07
5,Saint-Joseph,-21.3667,55.6167,70.21,79,25,14.54,RE,2022-07-23 05:05:07
6,Yellowknife,62.456,-114.3525,63.12,63,20,8.05,CA,2022-07-23 04:58:56
7,Garissa,-0.4536,39.6401,73.53,72,17,17.52,KE,2022-07-23 05:05:08
8,Cherskiy,68.75,161.3,57.06,43,23,3.91,RU,2022-07-23 04:58:55
9,Tasiilaq,65.6145,-37.6368,33.96,82,61,8.23,GL,2022-07-23 05:03:14
10,Punta Arenas,-53.15,-70.9167,32.11,75,31,13.27,CL,2022-07-23 05:00:17
11,Necochea,-38.5473,-58.7368,42.4,89,52,9.53,AR,2022-07-23 05:05:09
12,Ambilobe,-13.2,49.05,72.46,55,0,3.96,MG,2022-07-23 05:05:10
13,Yuanping,38.7153,112.7575,84.34,32,0,5.26,CN,2022-07-23 05:05:10
14,Ribeira Grande,38.5167,-28.7,72.84,89,55,6.44,PT,2022-07-23 05:02:50
15,Port Elizabeth,-33.918,25.5701,58.32,81,0,10.36,ZA,2022-07-23 04:56:19
16,Chuy,-33.6971,-53.4616,56.39,98,100,5.32,UY,2022-07-23 05:04:36
17,Aklavik,68.2191,-135.0107,52.7,92,100,8.57,CA,2022-07-23 05:03:50
18,Mataura,-46.1927,168.8643,44.47,86,4,2.71,NZ,2022-07-23 05:02:51
19,Cape Town,-33.9258,18.4232,54.12,90,75,4.0,ZA,2022-07-23 04:56:47
20,Chateauroux,46.8167,1.7,66.2,88,100,5.75,FR,2022-07-23 05:04:34
21,Port Alfred,-33.5906,26.891,59.56,79,100,11.43,ZA,2022-07-23 05:03:15
